betas,TaskType,StimType,StimCond(0/1),Cue,Image(s) seen/imagined
80,1.0,0.0,1.0,P,"[257, 245, 32, 124, 185, 307, 149, 258, 309, 283, 129, 281, 91, 276, 74, 22, 166, 295, 308, 179, 345, 333, 11, 17]"
81,1.0,0.0,1.0,P,"[257, 245, 32, 124, 185, 307, 149, 258, 309, 283, 129, 281, 91, 276, 74, 22, 166, 295, 308, 179, 345, 333, 11, 17]"
82,1.0,0.0,0.0,L,"[68, 246, 345, 346, 257, 320, 307, 289, 258, 292, 163, 44, 164, 97, 17, 341, 74, 66, 156, 30, 162, 311, 78, 129]"
83,1.0,0.0,0.0,L,"[68, 246, 345, 346, 257, 320, 307, 289, 258, 292, 163, 44, 164, 97, 17, 341, 74, 66, 156, 30, 162, 311, 78, 129]"
84,1.0,0.0,0.0,E,"[17, 291, 36, 154, 257, 104, 313, 123, 299, 249, 26, 170, 141, 159, 78, 242, 199, 185, 147, 298, 132, 129, 318, 74]"
85,1.0,0.0,0.0,E,"[17, 291, 36, 154, 257, 104, 313, 123, 299, 249, 26, 170, 141, 159, 78, 242, 199, 185, 147, 298, 132, 129, 318, 74]"
86,1.0,0.0,0.0,H,"[76, 129, 247, 335, 37, 307, 257, 105, 161, 220, 320, 210, 298, 323, 60, 252, 64, 136, 41, 102, 185, 31, 74, 295]"
87,1.0,0.0,0.0,H,"[76, 129, 247, 335, 37, 307, 257, 105, 161, 220, 320, 210, 298, 323, 60, 252, 64, 136, 41, 102, 185, 31, 74, 295]"
88,1.0,0.0,1.0,R,"[145, 307, 215, 240, 148, 45, 180, 74, 277, 129, 204, 185, 49, 295, 149, 276, 105, 178, 135, 298, 257, 167, 17, 309]"
89,1.0,0.0,1.0,R,"[145, 307, 215, 240, 148, 45, 180, 74, 277, 129, 204, 185, 49, 295, 149, 276, 105, 178, 135, 298, 257, 167, 17, 309]"
90,1.0,0.0,0.0,P,"[60, 33, 307, 172, 46, 133, 189, 280, 74, 150, 171, 68, 206, 197, 84, 96, 153, 129, 76, 164, 88, 17, 246, 185]"
91,1.0,0.0,0.0,P,"[60, 33, 307, 172, 46, 133, 189, 280, 74, 150, 171, 68, 206, 197, 84, 96, 153, 129, 76, 164, 88, 17, 246, 185]"
92,1.0,0.0,1.0,R,"[42, 118, 307, 194, 214, 54, 132, 86, 185, 129, 315, 151, 291, 17, 157, 115, 257, 74, 174, 53, 137, 130, 117, 3]"
93,1.0,0.0,1.0,R,"[42, 118, 307, 194, 214, 54, 132, 86, 185, 129, 315, 151, 291, 17, 157, 115, 257, 74, 174, 53, 137, 130, 117, 3]"
94,1.0,0.0,0.0,E,"[198, 297, 316, 101, 161, 55, 162, 205, 118, 59, 324, 257, 277, 320, 278, 177, 284, 129, 185, 17, 330, 74, 218, 208]"
95,1.0,0.0,0.0,E,"[198, 297, 316, 101, 161, 55, 162, 205, 118, 59, 324, 257, 277, 320, 278, 177, 284, 129, 185, 17, 330, 74, 218, 208]"
96,1.0,0.0,1.0,H,"[129, 158, 172, 39, 17, 81, 288, 246, 266, 84, 74, 65, 103, 82, 185, 316, 307, 300, 257, 245, 132, 168, 75, 319]"
97,1.0,0.0,1.0,H,"[129, 158, 172, 39, 17, 81, 288, 246, 266, 84, 74, 65, 103, 82, 185, 316, 307, 300, 257, 245, 132, 168, 75, 319]"
98,1.0,0.0,1.0,V,"[185, 322, 74, 324, 317, 17, 30, 215, 42, 327, 141, 12, 45, 219, 150, 257, 88, 199, 303, 315, 307, 27, 129, 34]"
99,1.0,0.0,1.0,V,"[185, 322, 74, 324, 317, 17, 30, 215, 42, 327, 141, 12, 45, 219, 150, 257, 88, 199, 303, 315, 307, 27, 129, 34]"
100,1.0,0.0,1.0,E,"[185, 323, 114, 317, 9, 110, 89, 307, 269, 300, 287, 48, 257, 86, 35, 6, 74, 17, 163, 115, 336, 272, 129, 28]"
101,1.0,0.0,1.0,E,"[185, 323, 114, 317, 9, 110, 89, 307, 269, 300, 287, 48, 257, 86, 35, 6, 74, 17, 163, 115, 336, 272, 129, 28]"
102,1.0,0.0,0.0,R,"[325, 275, 185, 9, 158, 197, 19, 129, 170, 113, 90, 312, 65, 212, 108, 257, 247, 273, 17, 244, 307, 12, 166, 41]"
103,1.0,0.0,0.0,R,"[325, 275, 185, 9, 158, 197, 19, 129, 170, 113, 90, 312, 65, 212, 108, 257, 247, 273, 17, 244, 307, 12, 166, 41]"
104,1.0,0.0,1.0,H,"[307, 314, 192, 206, 346, 187, 185, 36, 342, 286, 19, 257, 330, 143, 275, 74, 17, 10, 293, 32, 87, 52, 145, 129]"
105,1.0,0.0,1.0,H,"[307, 314, 192, 206, 346, 187, 185, 36, 342, 286, 19, 257, 330, 143, 275, 74, 17, 10, 293, 32, 87, 52, 145, 129]"
106,1.0,0.0,0.0,P,"[307, 129, 64, 17, 131, 74, 296, 39, 67, 43, 58, 216, 186, 140, 265, 325, 185, 188, 117, 286, 203, 19, 207, 270]"
107,1.0,0.0,0.0,P,"[307, 129, 64, 17, 131, 74, 296, 39, 67, 43, 58, 216, 186, 140, 265, 325, 185, 188, 117, 286, 203, 19, 207, 270]"
108,1.0,0.0,0.0,H,"[170, 176, 83, 331, 148, 139, 208, 51, 54, 251, 50, 116, 328, 307, 257, 185, 101, 188, 280, 194, 67, 123, 129, 74]"
109,1.0,0.0,0.0,H,"[170, 176, 83, 331, 148, 139, 208, 51, 54, 251, 50, 116, 328, 307, 257, 185, 101, 188, 280, 194, 67, 123, 129, 74]"
110,1.0,0.0,1.0,R,"[17, 241, 218, 147, 172, 263, 321, 129, 59, 88, 339, 280, 119, 38, 74, 293, 283, 307, 257, 190, 121, 281, 102, 185]"
111,1.0,0.0,1.0,R,"[17, 241, 218, 147, 172, 263, 321, 129, 59, 88, 339, 280, 119, 38, 74, 293, 283, 307, 257, 190, 121, 281, 102, 185]"
112,1.0,0.0,1.0,P,"[27, 257, 2, 202, 307, 279, 195, 259, 240, 282, 47, 185, 77, 8, 294, 243, 335, 17, 196, 74, 129, 42, 173, 341]"
113,1.0,0.0,1.0,P,"[27, 257, 2, 202, 307, 279, 195, 259, 240, 282, 47, 185, 77, 8, 294, 243, 335, 17, 196, 74, 129, 42, 173, 341]"
114,1.0,0.0,1.0,V,"[115, 185, 43, 129, 209, 28, 307, 180, 23, 154, 147, 290, 146, 17, 156, 142, 175, 159, 257, 211, 49, 261, 33, 74]"
115,1.0,0.0,1.0,V,"[115, 185, 43, 129, 209, 28, 307, 180, 23, 154, 147, 290, 146, 17, 156, 142, 175, 159, 257, 211, 49, 261, 33, 74]"
116,1.0,0.0,1.0,P,"[108, 144, 303, 52, 185, 30, 346, 82, 315, 23, 129, 257, 17, 107, 307, 190, 209, 262, 120, 214, 45, 121, 263, 74]"
117,1.0,0.0,1.0,P,"[108, 144, 303, 52, 185, 30, 346, 82, 315, 23, 129, 257, 17, 107, 307, 190, 209, 262, 120, 214, 45, 121, 263, 74]"
118,1.0,0.0,0.0,V,"[90, 96, 118, 137, 80, 110, 196, 312, 119, 17, 307, 121, 185, 74, 242, 258, 257, 274, 291, 29, 135, 207, 9, 162]"
119,1.0,0.0,0.0,V,"[90, 96, 118, 137, 80, 110, 196, 312, 119, 17, 307, 121, 185, 74, 242, 258, 257, 274, 291, 29, 135, 207, 9, 162]"
120,1.0,0.0,1.0,L,"[27, 324, 17, 129, 141, 74, 84, 269, 165, 206, 95, 245, 185, 302, 169, 257, 307, 92, 216, 83, 337, 288, 104, 189]"
121,1.0,0.0,1.0,L,"[27, 324, 17, 129, 141, 74, 84, 269, 165, 206, 95, 245, 185, 302, 169, 257, 307, 92, 216, 83, 337, 288, 104, 189]"
122,1.0,0.0,0.0,H,"[260, 173, 93, 179, 149, 35, 185, 296, 198, 271, 204, 307, 2, 104, 129, 40, 340, 311, 345, 111, 46, 257, 74, 332]"
123,1.0,0.0,0.0,H,"[260, 173, 93, 179, 149, 35, 185, 296, 198, 271, 204, 307, 2, 104, 129, 40, 340, 311, 345, 111, 46, 257, 74, 332]"
124,1.0,0.0,1.0,V,"[264, 129, 113, 294, 114, 178, 250, 338, 17, 106, 307, 151, 68, 133, 336, 74, 21, 100, 257, 85, 78, 185, 18, 171]"
125,1.0,0.0,1.0,V,"[264, 129, 113, 294, 114, 178, 250, 338, 17, 106, 307, 151, 68, 133, 336, 74, 21, 100, 257, 85, 78, 185, 18, 171]"
126,1.0,0.0,0.0,R,"[175, 185, 150, 199, 333, 201, 52, 192, 213, 307, 327, 252, 57, 140, 257, 129, 270, 124, 152, 17, 331, 131, 326, 177]"
127,1.0,0.0,0.0,R,"[175, 185, 150, 199, 333, 201, 52, 192, 213, 307, 327, 252, 57, 140, 257, 129, 270, 124, 152, 17, 331, 131, 326, 177]"
128,1.0,0.0,1.0,E,"[37, 18, 217, 38, 29, 74, 185, 20, 56, 129, 260, 24, 130, 83, 17, 57, 307, 80, 261, 106, 112, 257, 7, 200]"
129,1.0,0.0,1.0,E,"[37, 18, 217, 38, 29, 74, 185, 20, 56, 129, 260, 24, 130, 83, 17, 57, 307, 80, 261, 106, 112, 257, 7, 200]"
130,1.0,0.0,0.0,L,"[51, 29, 209, 307, 74, 142, 285, 129, 17, 2, 91, 32, 116, 310, 31, 143, 257, 48, 336, 198, 319, 211, 243, 282]"
131,1.0,0.0,0.0,L,"[51, 29, 209, 307, 74, 142, 285, 129, 17, 2, 91, 32, 116, 310, 31, 143, 257, 48, 336, 198, 319, 211, 243, 282]"
132,1.0,0.0,0.0,R,"[308, 340, 47, 17, 77, 39, 82, 58, 301, 111, 195, 129, 114, 64, 81, 193, 257, 259, 4, 210, 10, 185, 307, 268]"
133,1.0,0.0,0.0,R,"[308, 340, 47, 17, 77, 39, 82, 58, 301, 111, 195, 129, 114, 64, 81, 193, 257, 259, 4, 210, 10, 185, 307, 268]"
134,1.0,0.0,0.0,L,"[242, 112, 109, 61, 89, 176, 266, 87, 139, 159, 74, 316, 129, 307, 60, 120, 161, 313, 63, 322, 296, 18, 257, 17]"
135,1.0,0.0,0.0,L,"[242, 112, 109, 61, 89, 176, 266, 87, 139, 159, 74, 316, 129, 307, 60, 120, 161, 313, 63, 322, 296, 18, 257, 17]"
136,1.0,0.0,1.0,R,"[208, 136, 250, 43, 307, 129, 257, 17, 122, 74, 26, 25, 123, 23, 11, 85, 80, 330, 272, 144, 154, 185, 98, 5]"
137,1.0,0.0,1.0,R,"[208, 136, 250, 43, 307, 129, 257, 17, 122, 74, 26, 25, 123, 23, 11, 85, 80, 330, 272, 144, 154, 185, 98, 5]"
138,1.0,0.0,0.0,E,"[185, 62, 44, 49, 213, 257, 326, 136, 176, 191, 151, 87, 17, 160, 61, 74, 293, 75, 156, 129, 105, 157, 122, 212]"
139,1.0,0.0,0.0,E,"[185, 62, 44, 49, 213, 257, 326, 136, 176, 191, 151, 87, 17, 160, 61, 74, 293, 75, 156, 129, 105, 157, 122, 212]"
140,1.0,0.0,0.0,V,"[257, 11, 289, 307, 152, 269, 20, 62, 169, 53, 22, 195, 262, 185, 267, 189, 17, 310, 191, 344, 74, 214, 164, 155]"
141,1.0,0.0,0.0,V,"[257, 11, 289, 307, 152, 269, 20, 62, 169, 53, 22, 195, 262, 185, 267, 189, 17, 310, 191, 344, 74, 214, 164, 155]"
142,1.0,0.0,1.0,H,"[333, 276, 212, 17, 257, 74, 318, 185, 302, 213, 99, 217, 329, 129, 241, 309, 112, 307, 77, 343, 92, 153, 190, 8]"
143,1.0,0.0,1.0,H,"[333, 276, 212, 17, 257, 74, 318, 185, 302, 213, 99, 217, 329, 129, 241, 309, 112, 307, 77, 343, 92, 153, 190, 8]"
144,2.0,0.0,,L,[185]
145,2.0,0.0,,V,[129]
146,2.0,0.0,,H,[17]
147,2.0,0.0,,V,[129]
148,2.0,0.0,,L,[185]
149,2.0,0.0,,R,[74]
150,2.0,0.0,,E,[307]
151,2.0,0.0,,L,[185]
152,2.0,0.0,,P,[257]
153,2.0,0.0,,E,[307]
154,2.0,0.0,,H,[17]
155,2.0,0.0,,P,[257]
156,2.0,0.0,,L,[185]
157,2.0,0.0,,P,[257]
158,2.0,0.0,,H,[17]
159,2.0,0.0,,V,[129]
160,2.0,0.0,,P,[257]
161,2.0,0.0,,R,[74]
162,2.0,0.0,,H,[17]
163,2.0,0.0,,V,[129]
164,2.0,0.0,,P,[257]
165,2.0,0.0,,H,[17]
166,2.0,0.0,,R,[74]
167,2.0,0.0,,E,[307]
168,2.0,0.0,,H,[17]
169,2.0,0.0,,R,[74]
170,2.0,0.0,,E,[307]
171,2.0,0.0,,L,[185]
172,2.0,0.0,,H,[17]
173,2.0,0.0,,L,[185]
174,2.0,0.0,,R,[74]
175,2.0,0.0,,V,[129]
176,2.0,0.0,,E,[307]
177,2.0,0.0,,V,[129]
178,2.0,0.0,,P,[257]
179,2.0,0.0,,H,[17]
180,2.0,0.0,,L,[185]
181,2.0,0.0,,P,[257]
182,2.0,0.0,,E,[307]
183,2.0,0.0,,R,[74]
184,2.0,0.0,,V,[129]
185,2.0,0.0,,P,[257]
186,2.0,0.0,,L,[185]
187,2.0,0.0,,E,[307]
188,2.0,0.0,,R,[74]
189,2.0,0.0,,V,[129]
190,2.0,0.0,,R,[74]
191,2.0,0.0,,E,[307]
192,0.0,1.0,0.0,B,[652]
193,0.0,1.0,0.0,W,[1005]
194,0.0,1.0,1.0,W,[655]
195,0.0,1.0,0.0,B,[1060]
196,0.0,1.0,1.0,T,[357]
197,0.0,1.0,0.0,K,[927]
198,0.0,1.0,0.0,B,[1060]
199,0.0,1.0,1.0,K,[673]
200,0.0,1.0,0.0,K,[654]
201,0.0,1.0,0.0,W,[675]
202,0.0,1.0,1.0,C,[1002]
203,0.0,1.0,0.0,T,[674]
204,0.0,1.0,0.0,B,[353]
205,0.0,1.0,1.0,D,[1062]
206,0.0,1.0,1.0,C,[1002]
207,0.0,1.0,1.0,W,[655]
208,0.0,1.0,0.0,T,[1004]
209,0.0,1.0,1.0,D,[1062]
210,0.0,1.0,1.0,B,[924]
211,0.0,1.0,1.0,K,[673]
212,0.0,1.0,0.0,W,[1064]
213,0.0,1.0,1.0,T,[357]
214,0.0,1.0,0.0,T,[1063]
215,0.0,1.0,1.0,C,[1002]
216,0.0,1.0,1.0,W,[655]
217,0.0,1.0,0.0,D,[1003]
218,0.0,1.0,0.0,K,[356]
219,0.0,1.0,1.0,W,[655]
220,0.0,1.0,0.0,K,[927]
221,0.0,1.0,0.0,C,[653]
222,0.0,1.0,1.0,K,[673]
223,0.0,1.0,1.0,B,[924]
224,0.0,1.0,0.0,D,[355]
225,0.0,1.0,1.0,D,[1062]
226,0.0,1.0,0.0,W,[675]
227,0.0,1.0,1.0,B,[924]
228,0.0,1.0,1.0,K,[673]
229,0.0,1.0,1.0,B,[924]
230,0.0,1.0,1.0,C,[1002]
231,0.0,1.0,0.0,C,[653]
232,0.0,1.0,1.0,T,[357]
233,0.0,1.0,0.0,C,[925]
234,0.0,1.0,0.0,D,[1003]
235,0.0,1.0,0.0,T,[674]
236,0.0,1.0,0.0,C,[354]
237,0.0,1.0,1.0,D,[1062]
238,0.0,1.0,0.0,D,[926]
239,0.0,1.0,1.0,T,[357]
240,1.0,1.0,1.0,D,"[664, 772, 1047, 648, 582, 1140, 469, 1037, 934, 358, 1006, 1065, 656, 776, 929, 750, 960, 484, 895, 487, 515, 695, 446, 676]"
241,1.0,1.0,1.0,D,"[664, 772, 1047, 648, 582, 1140, 469, 1037, 934, 358, 1006, 1065, 656, 776, 929, 750, 960, 484, 895, 487, 515, 695, 446, 676]"
242,1.0,1.0,0.0,K,"[718, 1119, 1028, 700, 754, 1006, 710, 821, 832, 972, 623, 845, 358, 826, 1101, 1065, 1082, 667, 669, 497, 929, 709, 656, 910]"
243,1.0,1.0,0.0,K,"[718, 1119, 1028, 700, 754, 1006, 710, 821, 832, 972, 623, 845, 358, 826, 1101, 1065, 1082, 667, 669, 497, 929, 709, 656, 910]"
244,1.0,1.0,1.0,D,"[1006, 620, 989, 1065, 749, 539, 628, 845, 826, 587, 358, 724, 709, 676, 594, 656, 817, 929, 1117, 752, 576, 1116, 550, 701]"
245,1.0,1.0,1.0,D,"[1006, 620, 989, 1065, 749, 539, 628, 845, 826, 587, 358, 724, 709, 676, 594, 656, 817, 929, 1117, 752, 576, 1116, 550, 701]"
246,1.0,1.0,0.0,T,"[601, 616, 440, 765, 642, 910, 524, 1006, 634, 418, 838, 676, 502, 929, 874, 855, 656, 1108, 832, 798, 1082, 389, 804, 1065]"
247,1.0,1.0,0.0,T,"[601, 616, 440, 765, 642, 910, 524, 1006, 634, 418, 838, 676, 502, 929, 874, 855, 656, 1108, 832, 798, 1082, 389, 804, 1065]"
248,1.0,1.0,1.0,W,"[427, 676, 929, 1016, 1006, 717, 483, 806, 628, 905, 545, 646, 1131, 656, 946, 566, 358, 488, 976, 1065, 594, 430, 903, 852]"
249,1.0,1.0,1.0,W,"[427, 676, 929, 1016, 1006, 717, 483, 806, 628, 905, 545, 646, 1131, 656, 946, 566, 358, 488, 976, 1065, 594, 430, 903, 852]"
250,1.0,1.0,0.0,T,"[1032, 860, 902, 656, 678, 733, 1006, 852, 868, 791, 998, 1076, 640, 833, 676, 1051, 559, 823, 1053, 1065, 722, 929, 662, 814]"
251,1.0,1.0,0.0,T,"[1032, 860, 902, 656, 678, 733, 1006, 852, 868, 791, 998, 1076, 640, 833, 676, 1051, 559, 823, 1053, 1065, 722, 929, 662, 814]"
252,1.0,1.0,1.0,W,"[804, 883, 417, 663, 419, 1013, 438, 1065, 656, 603, 676, 550, 1006, 358, 505, 812, 791, 929, 817, 630, 902, 931, 1134, 989]"
253,1.0,1.0,1.0,W,"[804, 883, 417, 663, 419, 1013, 438, 1065, 656, 603, 676, 550, 1006, 358, 505, 812, 791, 929, 817, 630, 902, 931, 1134, 989]"
254,1.0,1.0,1.0,C,"[868, 540, 1006, 591, 1074, 565, 538, 676, 656, 837, 727, 1073, 1091, 728, 388, 1007, 358, 488, 1065, 717, 929, 559, 640, 671]"
255,1.0,1.0,1.0,C,"[868, 540, 1006, 591, 1074, 565, 538, 676, 656, 837, 727, 1073, 1091, 728, 388, 1007, 358, 488, 1065, 717, 929, 559, 640, 671]"
256,1.0,1.0,1.0,B,"[973, 908, 1006, 1079, 916, 900, 642, 1024, 676, 700, 1065, 607, 599, 601, 358, 524, 856, 466, 614, 656, 390, 691, 929, 662]"
257,1.0,1.0,1.0,B,"[973, 908, 1006, 1079, 916, 900, 642, 1024, 676, 700, 1065, 607, 599, 601, 358, 524, 856, 466, 614, 656, 390, 691, 929, 662]"
258,1.0,1.0,1.0,K,"[1053, 860, 383, 783, 874, 1069, 358, 1088, 443, 1090, 446, 929, 571, 1137, 868, 378, 469, 691, 656, 1006, 676, 660, 802, 1065]"
259,1.0,1.0,1.0,K,"[1053, 860, 383, 783, 874, 1069, 358, 1088, 443, 1090, 446, 929, 571, 1137, 868, 378, 469, 691, 656, 1006, 676, 660, 802, 1065]"
260,1.0,1.0,0.0,B,"[989, 473, 831, 790, 976, 1032, 960, 1065, 726, 1006, 563, 358, 676, 1085, 1134, 829, 656, 1112, 1111, 678, 1088, 987, 595, 938]"
261,1.0,1.0,0.0,B,"[989, 473, 831, 790, 976, 1032, 960, 1065, 726, 1006, 563, 358, 676, 1085, 1134, 829, 656, 1112, 1111, 678, 1088, 987, 595, 938]"
262,1.0,1.0,1.0,C,"[634, 929, 1035, 998, 1082, 775, 972, 594, 483, 1065, 358, 1069, 754, 656, 913, 583, 505, 616, 886, 633, 931, 387, 1006, 676]"
263,1.0,1.0,1.0,C,"[634, 929, 1035, 998, 1082, 775, 972, 594, 483, 1065, 358, 1069, 754, 656, 913, 583, 505, 616, 886, 633, 931, 387, 1006, 676]"
264,1.0,1.0,1.0,T,"[657, 545, 401, 962, 474, 718, 700, 490, 358, 428, 929, 439, 630, 623, 555, 482, 656, 1006, 1111, 726, 676, 904, 1065, 759]"
